Encore Halloween Harvest 2024 Items,,,,,All ," 635,222 "," 868,061 "," 498,786 "," 260,202 ", -   ," 2,262,271 ",,," $2,231,408 "," $3,155,884 "," $1,758,065 "," $1,009,134 ", $-   ," $8,154,490 "," $1,059,357 "," $1,501,090 "," $834,456 "," $491,695 ", $-   ," $3,886,599 ",,,
00004152020508, SL Hal 6X12 CTS Gl Clng , Décor , Halloween ,Halloween Harvest 2024,Mello Smello, 510 ," 1,404 "," 1,020 ", 606 , -   ," 3,540 ", $0.75 , $1.49 , $760 ," $2,092 "," $1,520 ", $903 , $-   ," $5,275 ", $383 ," $1,053 ", $765 , $455 , $-   ," $2,655 ", Window Décor , Import ,
00004152020510, SL Hal 6X12 JL GLW CLNG , Décor , Halloween ,Halloween Harvest 2024,Mello Smello, 276 , 450 , 276 , 888 , -   ," 1,890 ", $0.81 , $1.69 , $466 , $761 , $466 ," $1,501 ", $-   ," $3,194 ", $224 , $365 , $224 , $719 , $-   ," $1,531 ", Window Décor , Import ,
00004152020511, SL Hal 6X12 HNTD HS GLW , Décor , Halloween ,Halloween Harvest 2024,Mello Smello, 276 , 450 , 276 , 888 , -   ," 1,890 ", $0.81 , $1.69 , $466 , $761 , $466 ," $1,501 ", $-   ," $3,194 ", $224 , $365 , $224 , $719 , $-   ," $1,531 ", Window Décor , Import ,
00004152020512, SL HAL 6X12 SKL GL CLNG , Décor , Halloween ,Halloween Harvest 2024,Mello Smello, 276 , 450 , 276 , 888 , -   ," 1,890 ", $0.81 , $1.69 , $466 , $761 , $466 ," $1,501 ", $-   ," $3,194 ", $224 , $365 , $224 , $719 , $-   ," $1,531 ", Window Décor , Import ,
00004152020513, SL HAL 6X12 PETS GLW GL , Décor , Halloween ,Halloween Harvest 2024,Mello Smello, 276 , 450 , 276 , 888 , -   ," 1,890 ", $0.81 , $1.69 , $466 , $761 , $466 ," $1,501 ", $-   ," $3,194 ", $224 , $365 , $224 , $719 , $-   ," $1,531 ", Window Décor , Import ,
00004152020514, SL  Hal Skeleton Dcr , Décor , Halloween ,Halloween Harvest 2024,Global," 2,808 "," 2,088 "," 1,620 ", -   , -   ," 6,516 ", $2.37 , $4.99 ," $14,012 "," $10,419 "," $8,084 ", $-   , $-   ," $32,515 "," $6,655 "," $4,949 "," $3,839 ", $-   , $-   ," $15,443 ", Table and Mantle Décor , Import ,
00004152020515, SL Hal Pthwy Stks Pmpkn , Décor , Halloween ,Halloween Harvest 2024,Decra Lite, 468 ," 1,200 ", -   , -   , -   ," 1,668 ", $3.86 , $6.99 ," $3,271 "," $8,388 ", $-   , $-   , $-   ," $11,659 "," $1,806 "," $4,632 ", $-   , $-   , $-   ," $6,438 ", Candle & Lights , Import ,
00004152020516, SL Hal Pthwy Stks ghsts , Décor , Halloween ,Halloween Harvest 2024,Decra Lite, -   ," 1,200 ", -   , -   , -   ," 1,200 ", $3.86 , $6.99 , $-   ," $8,388 ", $-   , $-   , $-   ," $8,388 ", $-   ," $4,632 ", $-   , $-   , $-   ," $4,632 ", Candle & Lights , Import ,
00004152020519, SL Hal DOD Bird Décor , Décor , Halloween ,Halloween Harvest 2024,Global, 120 ," 2,400 ", -   , -   , -   ," 2,520 ", $2.90 , $5.99 , $719 ," $14,376 ", $-   , $-   , $-   ," $15,095 ", $348 ," $6,960 ", $-   , $-   , $-   ," $7,308 ", Table and Mantle Décor , Import ,
00004152020520, SL Hal GID SKLTN ANIML  , Plush , Halloween ,Halloween Harvest 2024,Dan Dee, -   ," 1,800 ", -   , -   , -   ," 1,800 ", $4.71 , $8.99 , $-   ," $16,182 ", $-   , $-   , $-   ," $16,182 ", $-   ," $8,478 ", $-   , $-   , $-   ," $8,478 ", Medium Plush , Import ,
00004152020521, SL Hal DOD Sitting Plsh , Plush , Halloween ,Halloween Harvest 2024,Dan Dee, -   ," 1,800 ", -   , -   , -   ," 1,800 ", $3.52 , $6.99 , $-   ," $12,582 ", $-   , $-   , $-   ," $12,582 ", $-   ," $6,336 ", $-   , $-   , $-   ," $6,336 ", Small Plush , Import ,
